,1: CandyCane,,,2: 17-01N3S3,,,3: 18-05P4S1,,,4: 19-05N2S1,,,5: 20-01N2S1,,,6: 21-01P4S5,,,7: 22-19P5S5,,,8: 23-01N2S4,,,9: 24-01N5S4,,,10: ECOLI,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,1937.3,0.1758,31656.3,35,0.0711,28576.9,167.33,0.4228,49407.4,145.34,0.0236,28915.4,140,0.2646,28915.4,177.19,0.2366,28830.8,190.9,0.2396,28830.8,149,0.2897,28661.5,133.53,0.2256,55925.9,330.13,0.0589
2,66000,3208.58,0.2795,28407.7,140,0.1752,26884.6,47.45,0.1241,45851.9,1108.89,0.3809,27223.1,43,0.0851,18676.9,69.83,0.3369,27138.5,49.07,0.0597,27138.5,47,0.0907,27138.5,56.56,0.1031,52666.7,598.9,0.126
3,42000,2892.09,0.2431,26715.4,43,0.054,18592.3,159.71,0.3963,41979.2,1460.69,0.4737,19100,140.45,0.2581,13555.6,130.5,0.3259,22823.1,29.84,0.04,18846.2,162.82,0.3076,18507.7,255.18,0.4577,49407.4,764.66,0.1807
4,41500,501.24,0.0294,20030.8,43.51,0.0506,10814.8,15.55,0.0568,28830.8,131.88,0.0465,13629.6,91.55,0.3226,11259.3,66.51,0.1006,19100,175.8,0.2271,13333.3,72.54,0.2673,17259.3,83.02,0.104,45851.9,656.5,0.1508
5,29000,382.73,0.0179,18338.5,317.42,0.4486,,,,27307.7,112.82,0.0398,11111.1,34.15,0.0696,,,,17185.2,39.32,0.0561,10888.9,27.16,0.0447,12963,22.03,0.0733,42296.3,426.34,0.0899
6,18000,264.25,0.0187,13259.3,66.11,0.2004,,,,25276.9,103.07,0.0356,,,,,,,13407.4,126.06,0.2969,,,,10444.4,22.5,0.0363,41729.2,211.31,0.0437
7,14000,3463.54,0.2356,,,,,,,,,,,,,,,,11111.1,59.86,0.0806,,,,,,,41031.3,92.28,0.0171
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,38843.8,36.26,0.0069
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,22400,7.0363,0.0065
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,20876.9,62.72,0.0126
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,17111.1,24.01,0.0029
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,15111.1,161.52,0.0248
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,12888.9,500.32,0.1101
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925.9,626.16,0.1691
