,1: CandyCane,,,2: ECOLI,,,3: 11-19N1S2,,,4: 12-19N3S4,,,5: 13-19P4S5,,,6: 14-19P2S2,,,7: 15-01P2S2,,,8: 16-01N2S3,,,9: 113-21P2S1,,,10: 115-21P4S4,,,11: 116-21P4S2,,,12: 119-21N3S4,,
Band #,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.,MW (d),Band Int.,Rel. Int.
1,82000,1511.09,0.2731,47508.2,1108.06,0.1481,44360.7,55.05,0.0494,40680.3,273.5,0.2746,53409.8,52.7,0.082,57344.3,258.09,0.04,3116.3,509.83,1,74000,425.6,0.1383,65606.6,402.06,0.0641,70869.6,165.74,0.0627,67739.1,435.45,0.1359,58131.1,369.8,0.0605
2,66000,1778.51,0.1723,42786.9,1275.46,0.1529,41500,73.95,0.0597,37196.7,249.22,0.1366,41295.1,14.68,-----,51836.1,282.87,0.1665,,,,41735.3,203.38,0.0299,63245.9,477.13,0.0904,67043.5,235.48,0.0753,65606.6,444.98,0.0574,45541,416.85,0.0249
3,42000,2359.39,0.1723,41794.1,1120.7,0.1207,38836.1,84.44,0.0573,20825.7,70.8,0.0629,37606.6,2.6985,-----,47901.6,232.33,0.0642,,,,40680.3,1060.52,0.1568,59311.5,527.76,0.0895,60491.8,235.7,0.1113,62065.6,431.35,0.0724,41941.2,1053.65,0.0542
4,41500,262.93,0.0131,41500,800.72,0.0827,35557.4,132.54,0.0932,19412.8,117.55,0.1195,18201.8,52.24,0.0809,43180.3,161.27,0.0361,,,,37606.6,928.85,0.2787,56163.9,529.82,0.1018,56557.4,217.23,0.0526,58918,388.71,0.0706,41558.8,965.04,0.0778
5,29000,23.01,0.0036,39245.9,411.24,0.0376,32278.7,109.44,0.0786,9162.8,74.2,0.0974,15767.4,6.8733,-----,41705.9,99.18,0.0263,,,,23348.6,44.01,0.0051,52229.5,386.35,0.0607,52623,145.44,0.0548,55377,300.08,0.0591,36377,404.43,0.0444
6,18000,266.68,0.0157,37401.6,176.26,0.0166,16325.6,47.03,0.0418,7395.3,126.88,0.0861,13907,49.65,0.0283,28394.5,43.76,0.016,,,,21229.4,95.14,0.0373,48295.1,265.38,0.0388,48688.5,92.03,0.0424,51442.6,207.71,0.0443,32278.7,378.21,0.0411
7,14000,3550.53,0.2164,34532.8,48.01,0.0029,15116.3,62.5,0.0415,4604.7,181.8,0.2228,9534.9,143.34,0.1168,25770.6,44.34,0.0198,,,,9534.9,145.96,0.0194,43180.3,173.48,0.0196,43967.2,44.94,0.0163,47114.8,148.74,0.0327,28091.7,405.99,0.0517
8,-----,999.18,0.1334,32278.7,-----,-----,14000,33.75,0.0181,,,,7209.3,156.35,0.2562,21330.3,77.38,0.0283,,,,8604.7,217.83,0.0294,41764.7,128.24,0.0154,29000,17.93,0.0049,42000,114.14,0.0327,25669.7,145.6,0.0175
9,,,,29614.8,-----,-----,9534.9,186.78,0.1069,,,,4418.6,223.99,0.4898,19211,214.3,0.1095,,,,7395.3,336.88,0.1119,32893.4,167.36,0.0304,26275.2,37.08,0.0112,30229.5,98.31,0.025,23449.5,296.34,0.0232
10,,,,28293.6,-----,-----,7581.4,150.42,0.2333,,,,,,,15767.4,194.44,0.0856,,,,4511.6,437.38,0.1933,28596.3,186.45,0.0274,21935.8,64.29,0.0171,26981.7,214.86,0.0489,21834.9,553.57,0.0809
11,,,,26477.1,9.3296,0.0005,4883.7,174.33,0.2202,,,,,,,9534.9,255,0.0713,,,,,,,25972.5,273.61,0.0429,19816.5,179.33,0.0798,24761.5,137.81,0.0315,18000,311.37,0.0395
12,,,,24862.4,25.16,0.0025,,,,,,,,,,7488.4,247.35,0.1719,,,,,,,21733.9,200.49,0.0256,16232.6,174.13,0.0563,22844,161.93,0.0137,8139.5,1341.47,0.2411
13,,,,23449.5,32.14,0.0032,,,,,,,,,,4697.7,221.6,0.1645,,,,,,,19614.7,432.15,0.0719,9069.8,178.94,0.0833,20422,206.3,0.055,5441.9,1278.59,0.2432
14,,,,21733.9,68.84,0.0068,,,,,,,,,,,,,,,,,,,15953.5,374.49,0.0501,7674.4,283.19,0.1484,16883.7,291.98,0.0502,,,
15,,,,19917.4,198.54,0.0344,,,,,,,,,,,,,,,,,,,9534.9,271.73,0.0216,4790.7,271.55,0.1836,7860.5,414.89,0.1479,,,
16,,,,17814,191.06,0.0204,,,,,,,,,,,,,,,,,,,7488.4,591.15,0.1524,,,,4976.7,333.38,0.1227,,,
17,,,,14372.1,522.2,0.1427,,,,,,,,,,,,,,,,,,,4325.6,431.85,0.0975,,,,,,,,,
18,,,,12325.6,693.02,0.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,10279.1,566.97,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,7860.5,116.09,0.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
