strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
103-01P5S1,0,0,0.0681,0,0,0,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104-21N2S1,0.0267,0.0148,0,0,0,0.4153,0.3751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-21N2S3,0.1737,0.0204,0.0854,0.0623,0.0819,0.0815,0.0178,0,0,0.0155,0.0291,0,0,0,0,0,0,0,0,0,0,0
106-21N2S5,0.2286,0.0351,0.033,0.0156,0.1238,0.1392,0.0263,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0
107-21N3S2,0.0776,0.1557,0.047,0.0135,0.0055,0.0317,0.209,0.1838,0.0355,0,0,0,0.0928,0,0,0,0,0,0,0,0,0
108-21N3S3,0.0823,0.2819,0,0,0,0.2394,0.1269,0,0,0,0,0,0.1377,0,0,0,0,0,0,0,0,0
109-21N3S4,0.0808,0.0175,0.0516,0.0411,0.0443,0.0776,0.0541,0.0249,0,0,0.0604,0,0,0,0,0,0,0,0,0,0,0
112-21N5S5,0.1232,0,0.0561,0.019,0.0852,0,0.2953,0,0,0,0,0,0,0.0754,0,0,0,0,0,0,0,0
113-21P2S1,0.0735,0.0262,0.0438,0.028,0.0311,0,0.0157,0.0201,0.0396,0.062,0.104,0.0914,0.0924,0.0655,0,0,0,0,0,0,0,0
114-21P2S2,0.1224,0.0221,0.0684,0.0391,0.0141,0,0,0,0,0,0,0.0123,0,0.0688,0,0.0558,0,0.0907,0.1285,0,0,0
115-21P2S4,0.0871,0.0187,0.0122,0.0054,0,0,0,0.0178,0.0462,0.0598,0.0573,0.1214,0,0,0.0822,0.0684,0,0,0,0,0,0
116-21P4S2,0.055,0.0137,0.0315,0.0489,0.025,0,0.0327,0,0.0327,0.0443,0.0591,0.0706,0.0724,0.0574,0.1359,0,0,0,0,0,0,0
117-21P4S3,0.1289,0,0.0088,0,0,0.0482,0.0952,0,0,0.0401,0,0.0708,0,0.0859,0.1373,0,0,0,0,0,0,0
118-21P4S5,0.0649,0.0223,0.0273,0.051,0,0,0.0705,0,0,0.042,0,0.0617,0,0.0853,0,0.0737,0.0877,0.1219,0,0,0,0
119-21P5S1,0.1875,0.1797,0,0.0273,0.025,0,0.162,0.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-21P5S3,0.1594,0.138,0,0.0892,0.0731,0,0,0.2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209-19N5S2,0.2137,0.0378,0.0206,0,0.0244,0,0.2248,0.192,0,0,0,0,0.125,0,0,0,0,0.0896,0,0,0,0.0167
210-19N2S1,0,0,0,0,0.1839,0.3224,0.1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214-19P2S2,0.1179,0.0304,0.0213,0.0172,0,0,0.0283,0.0389,0.0691,0.1793,0,0.0431,0,0,0,0,0,0,0,0,0,0
216-01N2S3,0.0381,0.0052,0,0,0.2842,0.1599,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221-01P4S5,0,0,0.2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223-01N2S4,0,0.0907,0.2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224-01N5S4,0,0.1031,0.2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225-19N5S1,0.0809,0.0289,0.0297,0.0126,0.0919,0.0455,0,0.0235,0.0117,0.147,0.1967,0.0509,0,0,0,0,0,0,0,0,0,0
226-19N3S2,0,0.0439,0.2145,0,0,0.2037,0.1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227-19N3S5,0.1515,0.0133,0.0335,0,0,0,0,0.0656,0.1002,0.1351,0.2117,0.1997,0,0,0,0,0.0309,0,0,0,0,0
228-01N5S2,0,0,0.1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229-19P4S3,0.0117,0.067,0.0523,0.0359,0.0226,0.0212,0.0228,0.0302,0.3062,0.2888,0.1054,0,0,0,0,0,0,0,0,0,0,0
234-01P2S4,0.0431,0.0044,0.2106,0,0,0.0712,0.113,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235-01N2S1,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236-01N3S3,0,0,0.1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237-19P5S5,0.1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239-01N3S4,0,0,0.1354,0,0.0104,0.042,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240-01P2S1,0.0485,0.0168,0.1765,0.0069,0.004,0.0322,0.0651,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244-19P5S3,0.0574,0.0328,0.047,0,0,0.363,0,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245-19N3S4,3.00E-04,0.0334,0.1607,0.1204,0.0895,0.0568,0.0247,0,0.2319,0.1962,0.0537,0,0,0,0,0,0,0,0.0225,0,0,0
248-19P4S5,0.067,0,0.1302,0,0,0.0959,0.1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249-01P2S2,0.1023,0.0553,0.3803,0.0246,0.0524,0.0142,0.0742,0.0842,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,0
250-01P5S5,0.0855,0.032,0.3207,0.0576,0.0299,0.0777,0.1167,0,0,0.0289,0,0,0,0.0225,0,0,0,0,0,0,0,0
251-19N2S5,0,0.2001,0.1102,0.062,0.0114,0.0089,0.0386,0.0216,0.1698,0.1605,0.0635,0,0,0,0,0,0.0389,0,0,0,0,0
252-01P4S4,0.0184,0.0149,0.2795,0,0,0.0143,0.0129,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255-19P5S1,0.0954,0.0609,0.0561,0.0124,0.0972,0.0223,0.0157,0.0109,0.018,0.037,0.0509,0.0584,0,0.065,0.0811,0,0.0651,0.0484,0,0,0.0153,0
256-19P2S4,0.0881,0.049,0.0685,0.0126,0.1148,0.0336,0.0129,0.0191,0.0114,0.0102,0.0163,0.0244,0.0326,0,0.0557,0.0719,0,0.0774,0.0575,0.0485,0,0.0299
257-19P2S1,0.0577,0.0499,0.059,0.0435,0.0847,0.0192,0.016,0.0088,0.0124,0.0118,0.0159,0.0249,0,0.0402,0,0.0556,0.064,0.0528,0,0.0372,0.024,0.0179
258-01N3S2,0.0566,0.0334,0.1321,0.1474,0.0144,0.0286,0.0371,0.0616,0.0345,0,0,0,0,0.0202,0,0,0,0,0,0,0,0
