gel.id,batch,lps.sample,strain,strain.id,trt,lim,cID,tm.pt
20150114-gel1,1,1,7803-A,101-7803-A,A,A,A,0
20160413-gel2,2,31,8101-A,231-8101-A,A,A,A,0
20160413-gel2,2,32,7803R8,232-7803R8,A,A,A,0
20160413-gel3,2,33,7803R8R21,233-7803R8R21,A,A,A,0
20150525-gel3,2,16,01N2S3,216-01N2S3,C,N,N2,1
20160413-gel1,2,23,01N2S4,223-01N2S4,C,N,N2,1
20160413-gel3,2,35,01N2S1,235-01N2S1,C,N,N2,1
20160413-gel3,2,36,01N3S3,236-01N3S3,C,N,N3,1
20160420-gel2,2,39,01N3S4,239-01N3S4,C,N,N3,1
20160420-gel2,2,58,01N3S2,258-01N3S2,C,N,N3,1
20160413-gel1,2,24,01N5S4,224-01N5S4,C,N,N5,1
20160413-gel2,2,28,01N5S2,228-01N5S2,C,N,N5,1
20160420-gel2,2,34,01P2S4,234-01P2S4,C,P,P2,1
20160420-gel2,2,40,01P2S1,240-01P2S1,C,P,P2,1
20160420-gel3,2,49,01P2S2,249-01P2S2,C,P,P2,1
20160413-gel1,2,21,01P4S5,221-01P4S5,C,P,P4,1
20160420-gel2,2,52,01P4S4,252-01P4S4,C,P,P4,1
20150525-gel1,1,3,01P5S1,103-01P5S1,C,P,P5,1
20160420-gel1,2,50,01P5S5,250-01P5S5,C,P,P5,1
20150525-gel2,2,10,19N2S1,210-19N2S1,T,N,N2,19
20160420-gel1,2,51,19N2S5,251-19N2S5,T,N,N2,19
20150114-gel1,1,4,21N2S1,104-21N2S1,T,N,N2,21
20150114-gel1,1,5,21N2S3,105-21N2S3,T,N,N2,21
20150114-gel1,1,6,21N2S5,106-21N2S5,T,N,N2,21
20160413-gel2,2,26,19N3S2,226-19N3S2,T,N,N3,19
20160413-gel2,2,27,19N3S5,227-19N3S5,T,N,N3,19
20160420-gel1,2,45,19N3S4,245-19N3S4,T,N,N3,19
20150114-gel1,1,7,21N3S2,107-21N3S2,T,N,N3,21
20150114-gel1,1,8,21N3S3,108-21N3S3,T,N,N3,21
20150525-gel3,1,9,21N3S4,109-21N3S4,T,N,N3,21
20150525-gel2,2,9,19N5S2,209-19N5S2,T,N,N5,19
20160413-gel2,2,25,19N5S1,225-19N5S1,T,N,N5,19
20150129-gel1,1,10,21N5S1,110-21N5S1,T,N,N5,21
20150129-gel1,1,11,21N5S4,111-21N5S4,T,N,N5,21
20150525-gel1,1,12,21N5S5,112-21N5S5,T,N,N5,21
20150525-gel3,2,14,19P2S2,214-19P2S2,T,P,P2,19
20160420-gel3,2,56,19P2S4,256-19P2S4,T,P,P2,19
20160420-gel3,2,57,19P2S1,257-19P2S1,T,P,P2,19
20150525-gel3,1,13,21P2S1,113-21P2S1,T,P,P2,21
20150525-gel1,1,14,21P2S2,114-21P2S2,T,P,P2,21
20150525-gel3,1,15,21P2S4,115-21P2S4,T,P,P2,21
20160413-gel2,2,29,19P4S3,229-19P4S3,T,P,P4,19
20160413-gel4,2,48,19P4S5,248-19P4S5,T,P,P4,19
20150525-gel3,1,16,21P4S2,116-21P4S2,T,P,P4,21
20150525-gel1,1,17,21P4S3,117-21P4S3,T,P,P4,21
20150525-gel1,1,18,21P4S5,118-21P4S5,T,P,P4,21
20160413-gel3,2,37,19P5S5,237-19P5S5,T,P,P5,19
20160413-gel4,2,44,19P5S3,244-19P5S3,T,P,P5,19
20160420-gel3,2,55,19P5S1,255-19P5S1,T,P,P5,19
20150525-gel1,1,19,21P5S1,119-21P5S1,T,P,P5,21
20150525-gel1,1,20,21P5S3,120-21P5S3,T,P,P5,21
